	velocity	Amplitude
0	613.8277604716318	0.9965485
1	609.9192208326258	1.0165975
2	606.01068119362	0.9879898
3	602.102141554614	1.0143478
4	598.1936019156082	0.9877419
5	594.2850622766022	0.99997497
6	590.3765226375962	1.0004629
7	586.4679829985904	1.0259892
8	582.5594433595844	0.99762565
9	578.6509037205785	1.0005465
10	574.7423640815726	1.0175092
11	570.8338244425667	0.9979151
12	566.9252848035608	1.0002599
13	563.0167451645549	0.9977575
14	559.1082055255489	1.0076705
15	555.199665886543	0.9928014
16	551.2911262475371	0.9895906
17	547.3825866085313	1.0127292
18	543.4740469695253	1.0167186
19	539.5655073305194	1.0263594
20	535.6569676915135	1.0078074
21	531.7484280525075	1.0197012
22	527.8398884135016	1.0046297
23	523.9313487744957	0.99731827
24	520.0228091354898	0.99611604
25	516.1142694964839	0.97360647
26	512.205729857478	0.9863631
27	508.29719021847205	1.0077246
28	504.3886505794661	1.0067592
29	500.48011094046024	0.98466545
30	496.5715713014543	0.98994213
31	492.6630316624484	0.9920179
32	488.7544920234425	0.98075503
33	484.84595238443654	1.0100703
34	480.93741274543066	0.99483734
35	477.0288731064247	1.0035119
36	473.12033346741885	0.99913204
37	469.2117938284129	0.9997565
38	465.30325418940697	1.0001595
39	461.3947145504011	0.98799807
40	457.4861749113951	0.9918496
41	453.57763527238916	1.0080785
42	449.6690956333833	1.0185502
43	445.76055599437734	1.0013151
44	441.8520163553714	1.0134012
45	437.9434767163655	0.9828097
46	434.0349370773596	1.0048277
47	430.1263974383537	0.99275625
48	426.21785779934777	0.9850609
49	422.30931816034183	1.0175978
50	418.40077852133595	1.0173868
51	414.49223888233	0.9894893
52	410.58369924332413	1.0006676
53	406.6751596043182	1.0190762
54	402.76661996531226	1.0169876
55	398.8580803263064	1.0125962
56	394.94954068730044	1.0028524
57	391.0410010482442	1.0312206
58	387.1324614092383	0.9929984
59	383.2239217702324	0.9830151
60	379.3153821312265	1.0098581
61	375.40684249222056	1.0036945
62	371.4983028532146	1.0032485
63	367.58976321420874	0.9882387
64	363.6812235752028	0.9739396
65	359.77268393619687	1.0159973
66	355.864144297191	0.9913818
67	351.95560465818505	1.0071309
68	348.0470650191792	0.99339396
69	344.13852538017323	1.0002418
70	340.2299857411673	1.0072855
71	336.3214461021614	0.9973661
72	332.4129064631555	0.9978416
73	328.5043668241496	1.0034348
74	324.59582718514366	0.98397386
75	320.6872875461377	1.0121664
76	316.77874790713184	1.0059987
77	312.8702082681259	1.0129316
78	308.96166862912	1.0148478
79	305.0531289901141	1.0012347
80	301.14458935110815	0.99577796
81	297.2360497121023	0.9998324
82	293.32751007309633	1.0124085
83	289.4189704340904	0.9960987
84	285.5104307950845	1.0071629
85	281.6018911560786	0.99606806
86	277.69335151707264	1.0008181
87	273.7848118780667	1.0061293
88	269.8762722390608	1.01209
89	265.9677326000549	1.0150416
90	262.059192961049	0.99866104
91	258.15065332204307	0.993509
92	254.24211368303713	1.0159883
93	250.33357404403122	0.9972649
94	246.4250344050253	1.0082752
95	242.51649476601938	1.0006545
96	238.60795512701347	1.0118228
97	234.69941548800756	1.001696
98	230.79087584900162	1.005772
99	226.8823362099957	0.99944335
100	222.9737965709898	1.0078137
101	219.0652569319839	0.9923974
102	215.156717292978	0.97120225
103	211.24817765397205	1.0066226
104	207.33963801496614	1.0084195
105	203.43109837596023	1.007484
106	199.52255873695432	1.00588
107	195.6140190979484	1.0015045
108	191.70547945894248	1.004302
109	187.79693981993657	0.99775046
110	183.88840018093066	0.9947098
111	179.97986054192475	0.98812973
112	176.0713209029188	0.977854
113	172.1627812639129	1.020137
114	168.254241624907	0.9845255
115	164.3457019859011	1.0047134
116	160.43716234689515	0.99933463
117	156.52862270788924	0.9970046
118	152.62008306888333	1.010454
119	148.71154342987742	0.9892499
120	144.8030037908715	0.9969122
121	140.89446415186558	1.0059606
122	136.98592451285967	1.0054436
123	133.07738487385373	1.0009258
124	129.16884523484782	1.0090858
125	125.26030559584191	0.9991842
126	121.35176595683599	1.0063242
127	117.44322631783008	0.99931216
128	113.53468667882416	0.9647992
129	109.62614703981825	0.99929005
130	105.71760740081231	1.0075353
131	101.8090677618064	1.0124451
132	97.90052812280048	0.9909295
133	93.99198848379457	1.0191349
134	90.08344884478866	0.9807635
135	86.17490920578274	1.0011569
136	82.26636956677683	0.99614793
137	78.35782992777091	1.0051454
138	74.449290288765	0.9841798
139	70.54075064975908	1.0260586
140	66.63221101075317	1.0057753
141	62.72367137174726	1.0087099
142	58.81513173274134	1.0052708
143	54.90659209373542	1.0011858
144	50.9980524547295	1.0035503
145	47.08951281572359	0.9967815
146	43.18097317671767	1.0047742
147	39.272433537711755	0.98403245
148	35.36389389870585	0.99663293
149	31.455354259699927	1.0145307
150	27.546814620694008	0.9952
151	23.638274981688095	1.0071492
152	19.72973534268218	1.0118369
153	15.82119570367626	1.0213863
154	11.912656064670347	1.0431521
155	8.00411642566443	0.95652175
156	4.095576786658514	0.7981029
157	0.1870371476525971	0.7719134
158	-3.721502491353319	0.9125284
159	-7.630042130359235	0.993172
160	-11.538581769365152	0.96630776
161	-15.447121408371068	0.9680194
162	-19.35566104737698	0.99995524
163	-23.2642006863829	0.98798555
164	-27.172740325388816	0.9750028
165	-31.08127996439473	1.0026047
166	-34.98981960340065	0.9786661
167	-38.89835924240656	1.0113003
168	-42.80689888141248	1.0027189
169	-46.715438520468716	0.99784964
170	-50.62397815947463	1.0032501
171	-54.53251779848055	1.023642
172	-58.44105743748647	0.9791236
173	-62.34959707649239	1.0093012
