x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
13 1 nan nan 0.4011 0.1763 3.1050 0.7259 1.9783 0.9469 1.9891 2.2447 0.0492 0.0135 -580.7470 1.3502 1 1 0 0 0 0 0
14 1 nan nan 0.2028 0.0205 4.6005 0.5499 1.8377 0.2775 0.9343 0.2496 0.0187 0.0690 -804.7526 1.2954 1 1 0 0 0 0 0
15 1 nan nan 0.4706 0.0478 -15.6133 0.4525 3.8395 0.4484 4.5295 1.0429 0.0486 0.0080 -587.2075 1.7301 2 1 0 0 0 0 0
15 1 nan nan 1.1638 0.1895 3.3888 0.3603 1.8191 0.3183 5.3067 1.9434 0.0486 0.0080 -587.2075 1.7301 2 1 0 0 0 0 0
16 1 nan nan 0.4892 0.0791 -15.0913 0.6280 3.1832 0.5704 3.9038 1.4442 0.0795 0.0127 -524.8645 1.2057 2 1 0 0 0 0 0
16 1 nan nan 1.1530 0.0814 4.4260 0.4360 1.7968 0.2034 5.1929 0.9962 0.0795 0.0127 -524.8645 1.2057 2 1 0 0 0 0 0
17 1 nan nan 1.6350 0.1146 4.6580 0.3039 2.0934 0.1790 8.5794 1.3865 0.1062 0.0000 -429.3175 1.3848 1 1 0 0 0 0 0
0 2 1.0000 2.2362 0.7944 0.0224 3.2670 0.1974 2.2630 0.2152 4.5061 0.5673 0.0379 0.0279 -661.0376 1.4368 2 1 0 0 0 0 0
0 2 1.0000 2.2362 0.5571 0.0559 -15.9305 0.3403 2.0678 0.2618 2.8873 0.6923 0.0379 0.0279 -661.0376 1.4368 2 1 0 0 0 0 0
1 2 2.0007 1.9999 0.5358 0.1676 3.1848 0.5601 1.9930 0.6586 2.6765 1.9983 0.0550 0.1399 -580.2102 1.1483 1 1 0 0 0 0 0
2 2 3.0007 0.9990 1.2068 0.0856 -0.2915 0.2546 2.9731 0.2386 8.9935 1.4111 0.0821 0.0006 -528.0352 1.1870 1 1 0 0 0 0 0
3 2 nan nan 0.2321 0.0429 1.5461 0.5260 2.6062 0.5666 1.5161 0.6709 0.0314 0.0000 -670.6663 1.7584 1 1 0 0 0 0 0
4 2 nan nan 0.4099 0.0232 2.8648 0.1263 2.2887 0.2331 2.3519 0.3863 0.0142 0.0000 -872.1324 1.3400 2 1 0 0 0 0 1
4 2 nan nan 0.1993 0.0143 -7.5908 0.3104 3.4371 0.3115 1.7168 0.2904 0.0142 0.0000 -872.1324 1.3400 2 1 0 0 0 0 1
5 2 nan nan 0.0893 1439.2675 -4.1458 193497.4062 2.9279 39338.9766 0.6553 141942928.0000 0.0115 0.0478 -889.4896 1.4232 3 1 1 0 0 0 1
5 2 nan nan 0.2741 2005.1597 -8.7264 13363.6797 1.7100 5676.1221 1.1751 28541764.0000 0.0115 0.0478 -889.4896 1.4232 3 1 1 0 0 0 1
5 2 nan nan 0.2741 111068.5000 1.7853 12183.9102 1.7336 4939.0327 1.1913 1375549440.0000 0.0115 0.0478 -889.4896 1.4232 3 1 1 0 0 0 1
6 2 nan nan 0.4848 0.0471 2.6985 0.2281 2.6942 0.3246 3.2742 0.7509 0.0341 0.0158 -665.5344 1.3826 1 1 0 0 0 0 0
8 2 nan nan 0.1463 0.0212 -7.1849 1.6809 10.0620 1.6809 3.6911 1.2400 0.0342 0.0000 -682.6819 1.5828 1 1 0 0 1 1 1
9 2 nan nan 0.3397 0.0301 0.0835 0.3761 2.0996 0.2276 1.7880 0.3694 0.0288 0.1632 -718.6263 1.1669 1 1 0 0 0 0 0
10 2 nan nan 0.6843 0.1764 1.5507 0.4324 2.0552 0.4764 3.5254 1.9370 0.0585 0.0322 -564.5314 1.1169 1 1 0 0 0 0 0
11 2 nan nan 2.7312 0.1656 -14.9460 0.2779 2.0353 0.1552 13.9341 1.9721 0.1581 0.0000 -368.7321 1.1978 1 1 0 0 0 0 1
12 2 nan nan 0.4552 0.0396 5.4852 0.3565 3.5596 0.3595 4.0617 0.7996 0.0408 0.0880 -653.7280 1.1528 1 1 0 0 0 0 0
13 2 nan nan 0.6513 0.0434 1.1650 0.2268 2.5799 0.1960 4.2119 0.6219 0.0376 0.0000 -665.6835 1.5280 1 1 0 0 0 0 0
14 2 nan nan 0.4477 0.0223 1.2296 0.1600 2.0049 0.1259 2.2498 0.2603 0.0135 0.0043 -877.8925 1.2410 1 1 0 0 0 0 0
15 2 nan nan 0.1906 0.0291 4.0231 0.5725 2.9841 0.4991 1.4254 0.4925 0.0308 0.1057 -704.0064 1.1769 1 1 0 0 0 0 0
1 3 2.0010 2.4494 0.2326 0.0420 2.2200 0.3495 2.6622 0.5331 1.5524 0.6472 0.0258 0.1930 -737.2844 1.2190 1 1 0 0 0 0 0
2 3 3.0013 1.7311 0.2312 0.0440 2.5266 0.2459 2.4128 0.5199 1.3983 0.6249 0.0197 0.0272 -774.2645 1.2561 1 1 0 0 0 0 0
3 3 nan nan 0.3764 0.0644 -19.7209 0.8814 4.4585 0.8872 4.2063 1.7004 0.0697 0.1206 -523.0973 1.5948 2 1 0 0 0 0 0
3 3 nan nan 0.6496 0.0694 0.5799 0.4708 3.7708 0.4665 6.1400 1.4969 0.0697 0.1206 -523.0973 1.5948 2 1 0 0 0 0 0
4 3 nan nan 0.3091 0.0248 -1.1326 0.6147 6.6427 0.6147 5.1468 0.9270 0.0294 0.0001 -654.8468 1.6036 1 1 0 0 1 0 0
5 3 nan nan 0.2876 0.0415 4.5171 0.5411 2.9147 0.4535 2.1009 0.6769 0.0399 0.0005 -636.5376 1.6789 1 1 0 0 0 0 0
6 3 nan nan 0.3673 0.0233 3.7142 0.2214 2.5959 0.1850 2.3903 0.3329 0.0224 0.1451 -834.1130 1.0556 1 1 0 0 0 0 0
7 3 nan nan 0.4576 0.0083 1.5226 1.0024 1.8664 1.0241 2.1411 1.2351 0.0620 0.3358 -539.6021 1.2715 1 1 0 0 0 0 0
8 3 nan nan 0.4237 0.0334 5.1523 0.2651 2.2591 0.2259 2.3991 0.4476 0.0261 0.0440 -787.7198 1.1466 2 1 0 0 0 0 0
8 3 nan nan 0.2019 0.0193 -13.3989 0.6688 6.0441 0.6969 3.0583 0.6791 0.0261 0.0440 -787.7198 1.1466 2 1 0 0 0 0 0
9 3 nan nan 0.2455 0.2348 -1.6749 6.4414 3.0370 2.6125 1.8686 4.9328 0.0134 0.0719 -880.7680 1.2965 2 1 0 0 0 0 1
9 3 nan nan 0.4156 0.9650 5.3936 16.9603 1.6848 15.2201 1.7550 56.7469 0.0134 0.0719 -880.7680 1.2965 2 1 0 0 0 0 1
10 3 nan nan 0.8844 0.1761 1.2030 0.5460 1.7104 0.3782 3.7917 1.7604 0.0519 0.2043 -612.8613 0.9932 1 1 0 0 0 0 0
11 3 nan nan 0.3559 0.1332 2.9180 0.5589 2.1782 0.9468 1.9431 1.8881 0.0516 0.1110 -577.1660 1.2672 1 1 0 0 0 0 0
12 3 nan nan 0.2574 0.0103 1.9925 0.0880 2.7562 0.1149 1.7780 0.1485 0.0061 0.0010 -1160.6775 1.7398 2 1 0 0 0 0 0
12 3 nan nan 0.1095 0.0276 -64.4530 0.2640 2.0496 0.5692 0.5628 0.3377 0.0061 0.0010 -1160.6775 1.7398 2 1 0 0 0 0 0
13 3 nan nan 0.2463 0.0273 3.7026 0.4002 2.9476 0.3659 1.8200 0.4526 0.0275 0.3831 -731.2729 1.0603 1 1 0 0 0 0 0
14 3 nan nan 0.1847 0.0252 -7.4923 2.0501 13.0359 2.0501 6.0356 1.9005 0.0447 0.0000 -594.9700 1.9659 1 1 0 0 1 1 1
15 3 nan nan 0.2740 0.0155 3.5384 0.1776 2.0438 0.1448 1.4039 0.1843 0.0074 0.0004 -1357.4946 1.3390 1 1 0 0 0 0 0
16 3 nan nan 0.1968 0.0439 1.6010 0.2238 2.3205 0.2611 1.1448 0.4129 0.0110 0.0000 -892.6039 1.6223 1 1 0 0 0 0 0
17 3 nan nan 0.4424 0.0886 3.1730 0.2318 2.3305 0.2780 2.5842 0.8874 0.0276 0.2248 -753.5060 1.1553 2 0 0 0 0 0 0
17 3 nan nan 0.1475 0.0255 -11.2808 0.7268 3.5902 0.7106 1.3278 0.5375 0.0276 0.2248 -753.5060 1.1553 2 0 0 0 0 0 0
0 4 1.0000 3.0003 0.1204 0.0329 2.7463 0.2837 2.1377 0.6555 0.6454 0.4281 0.0060 0.0236 -1446.6158 1.2501 1 1 0 0 0 0 0
1 4 2.0013 2.8284 0.7554 0.0112 0.9898 0.0583 2.0557 0.0386 3.8926 0.1317 0.0088 0.0000 -944.8380 1.5574 1 1 0 0 0 0 0
