x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
0 0 1.0000 1.0000 0.3546 0.0072 -5.7634 0.0390 1.6716 0.0390 1.4857 0.0654 0.0207 0.0003 -824.2497 2.2208 1 1 0 0 0 0 0
1 0 nan nan 0.2085 0.0177 -0.3615 0.1917 1.9596 0.1917 1.0242 0.1955 0.0549 0.0016 -629.5496 2.0192 1 1 0 0 0 0 0
2 0 nan nan 0.2424 0.0348 68.0170 0.3436 2.0728 0.3436 1.2592 0.4194 0.1083 0.0000 -619.6104 1.6154 1 1 0 0 0 0 0
0 1 1.0000 1.7321 0.1380 0.0141 -2.8087 0.2620 2.2176 0.2620 0.7674 0.1785 0.0463 0.0699 -697.6929 1.8712 1 2 0 0 0 0 0
1 1 2.0004 1.4141 0.2027 0.0188 -4.0723 0.1403 1.3121 0.1403 0.6668 0.1396 0.0505 0.0000 -725.1600 1.2918 2 1 0 0 0 1 0
1 1 2.0004 1.4141 0.2019 0.0312 6.2939 0.0848 0.4752 0.0848 0.2404 0.0867 0.0505 0.0000 -725.1600 1.2918 2 1 0 0 0 0 0
2 1 nan nan 0.2513 0.0393 -2.5592 0.0971 0.5375 0.0971 0.3385 0.1237 0.0643 0.0000 -625.2075 1.6494 1 1 0 0 0 0 0
0 2 1.0000 2.2362 0.3151 0.0102 -0.3934 0.0314 0.8393 0.0314 0.6629 0.0471 0.0212 0.1582 -855.0371 1.1661 2 2 0 0 0 0 0
0 2 1.0000 2.2362 0.7036 0.0106 16.8712 0.0135 0.7758 0.0135 1.3682 0.0448 0.0212 0.1582 -855.0371 1.1661 2 2 0 0 0 0 0
1 2 2.0007 1.9999 0.1837 0.0091 -5.3292 0.1227 2.1399 0.1227 0.9852 0.1082 0.0299 0.0294 -740.9955 1.8755 2 1 0 0 0 1 0
1 2 2.0007 1.9999 0.0809 0.0130 -18.0548 0.1948 1.0469 0.1948 0.2123 0.0801 0.0299 0.0294 -740.9955 1.8755 2 1 0 0 0 0 0
2 2 3.0007 0.9990 0.5959 0.0362 -6.9535 0.1389 1.9806 0.1389 2.9582 0.3998 0.1122 0.0002 -495.9284 2.0255 1 2 0 0 0 0 0
0 3 1.0000 2.6459 0.4944 0.0424 45.0448 0.5168 5.2166 0.5168 6.4650 1.2502 0.1799 0.0000 -320.3319 3.9875 1 2 0 0 0 1 0
1 3 2.0010 2.4494 0.1191 0.0119 41.2666 0.1155 1.0014 0.1156 0.2989 0.0678 0.0276 0.0003 -704.2909 1.6084 2 1 0 0 0 0 0
1 3 2.0010 2.4494 0.1210 0.0126 46.3990 0.1077 0.8990 0.1078 0.2727 0.0644 0.0276 0.0003 -704.2909 1.6084 2 1 0 0 0 0 0
