	velocity	Amplitude
0	-141.08011613099998	0.40963966
1	-140.87401041614598	0.40668708
2	-140.667904701292	0.40802068
3	-140.461798986438	0.4469131
4	-140.255693271584	0.4021765
5	-140.04958755673	0.41629454
6	-139.84348184187598	0.4433374
7	-139.637376127022	0.3477847
8	-139.431270412168	0.38752928
9	-139.225164697314	0.38661385
10	-139.01905898245997	0.38217184
11	-138.81295326760596	0.3787525
12	-138.606847552752	0.4234293
13	-138.40074183789798	0.42018732
14	-138.19463612304398	0.38684264
15	-137.98853040818997	0.3926902
16	-137.78242469333597	0.39231202
17	-137.576318978482	0.37066442
18	-137.370213263628	0.42810637
19	-137.16410754877398	0.4111024
20	-136.95800183391998	0.4373253
21	-136.751896119066	0.36522377
22	-136.545790404212	0.33077607
23	-136.339684689358	0.39383066
24	-136.133578974504	0.42589965
25	-135.92747325965	0.43309373
26	-135.721367544796	0.42360017
27	-135.515261829942	0.3796745
28	-135.309156115088	0.41656592
29	-135.103050400234	0.42697725
30	-134.89694468537996	0.39075148
31	-134.690838970526	0.37435508
32	-134.48473325567198	0.39786002
33	-134.27862754081798	0.42384642
34	-134.07252182596397	0.38714084
35	-133.86641611110997	0.38598332
36	-133.660310396256	0.40023485
37	-133.454204681402	0.38719785
38	-133.24809896654799	0.36396086
39	-133.04199325169398	0.44930142
40	-132.83588753683998	0.4074474
41	-132.629781821986	0.41684827
42	-132.423676107132	0.36080092
43	-132.217570392278	0.43023852
44	-132.011464677424	0.3772147
45	-131.80535896256998	0.39825124
46	-131.599253247716	0.39234063
47	-131.393147532862	0.37496433
48	-131.187041818008	0.40563035
49	-130.980936103154	0.37527335
50	-130.7748303883	0.39311278
51	-130.56872467344598	0.38452518
52	-130.36261895859198	0.41126472
53	-130.15651324373798	0.40741986
54	-129.95040752888397	0.4071857
55	-129.74430181403	0.42208087
56	-129.538196099176	0.38336888
57	-129.332090384322	0.41092363
58	-129.12598466946798	0.3882872
59	-128.91987895461398	0.3717568
60	-128.71377323976	0.38352922
61	-128.507667524906	0.42224205
62	-128.301561810052	0.38922125
63	-128.095456095198	0.38496977
64	-127.88935038034398	0.40445432
65	-127.68324466548998	0.36303905
66	-127.47713895063599	0.38518786
67	-127.27103323578199	0.40314674
68	-127.06492752092798	0.40464297
69	-126.85882180607399	0.38729277
70	-126.65271609121999	0.38665193
71	-126.446610376366	0.45916557
