	velocity	Amplitude
0	-142.110608071	0.43752465
1	-141.904501648022	0.377196
2	-141.69839522504398	0.43723482
3	-141.492288802066	0.4195866
4	-141.286182379088	0.43125522
5	-141.08007595611	0.4289814
6	-140.87396953313197	0.42985043
7	-140.667863110154	0.40938216
8	-140.461756687176	0.4192464
9	-140.25565026419798	0.40573022
10	-140.04954384122001	0.42053783
11	-139.843437418242	0.4307975
12	-139.637330995264	0.39763802
13	-139.43122457228597	0.4037274
14	-139.225118149308	0.39353472
15	-139.01901172633	0.40819553
16	-138.81290530335198	0.43710756
17	-138.60679888037401	0.42366576
18	-138.400692457396	0.42296135
19	-138.194586034418	0.42984748
20	-137.98847961144	0.43887198
21	-137.782373188462	0.4066709
22	-137.576266765484	0.4237923
23	-137.37016034250598	0.39889383
24	-137.164053919528	0.39611903
25	-136.95794749655	0.4320178
26	-136.751841073572	0.41738534
27	-136.545734650594	0.44143704
28	-136.339628227616	0.422437
29	-136.133521804638	0.4029572
30	-135.92741538165998	0.4028859
31	-135.721308958682	0.41978824
32	-135.515202535704	0.4516146
33	-135.309096112726	0.43034723
34	-135.102989689748	0.4224275
35	-134.89688326676998	0.41429248
36	-134.690776843792	0.43325433
37	-134.48467042081398	0.4162749
38	-134.278563997836	0.4159139
39	-134.072457574858	0.41468614
40	-133.86635115188	0.4301051
41	-133.660244728902	0.4157208
42	-133.45413830592398	0.41949284
43	-133.248031882946	0.42502415
44	-133.04192545996798	0.40505165
45	-132.83581903699	0.43482447
46	-132.62971261401202	0.40734646
47	-132.423606191034	0.4442364
48	-132.217499768056	0.4471582
49	-132.01139334507798	0.43333825
50	-131.8052869221	0.4068106
51	-131.59918049912199	0.39833042
52	-131.393074076144	0.4267098
53	-131.18696765316602	0.40499556
54	-130.980861230188	0.40909076
55	-130.77475480721	0.41150752
56	-130.56864838423198	0.42431715
57	-130.362541961254	0.4195487
58	-130.15643553827599	0.42025754
59	-129.950329115298	0.4245946
60	-129.74422269232	0.4223782
61	-129.538116269342	0.39564472
62	-129.332009846364	0.43101823
63	-129.125903423386	0.41404027
64	-128.919797000408	0.41764408
65	-128.71369057743	0.39500514
66	-128.507584154452	0.41229817
67	-128.301477731474	0.40325534
68	-128.095371308496	0.40436953
69	-127.889264885518	0.41719764
70	-127.68315846253999	0.41545692
71	-127.477052039562	0.43161863
72	-127.270945616584	0.4325954
73	-127.06483919360599	0.41808388
74	-126.858732770628	0.43973178
75	-126.65262634764998	0.44186807
76	-126.446519924672	0.42445096
77	-126.240413501694	0.4202425
78	-126.034307078716	0.40518618
79	-125.82820065573799	0.41568872
80	-125.62209423275999	0.39857277
81	-125.415987809782	0.41388553
82	-125.20988138680399	0.41701332
83	-125.003774963826	0.40058577
84	-124.797668540848	0.43246117
85	-124.59156211787	0.43555263
86	-124.38545569489199	0.41907734
87	-124.17934927191399	0.4201577
88	-123.973242848936	0.42736083
89	-123.76713642595799	0.404769
90	-123.56103000298	0.38792753
91	-123.354923580002	0.43756056
92	-123.148817157024	0.41100025
93	-122.94271073404599	0.41848373
94	-122.73660431106799	0.41201004
95	-122.53049788809	0.4284382
96	-122.32439146511199	0.43110123
97	-122.11828504213399	0.41076797
98	-121.912178619156	0.409983
99	-121.706072196178	0.39207023
100	-121.49996577319999	0.40557337
101	-121.293859350222	0.44130883
102	-121.087752927244	0.41630948
103	-120.881646504266	0.4335115
104	-120.67554008128799	0.42945576
105	-120.46943365831	0.40850943
106	-120.26332723533199	0.40364414
107	-120.05722081235399	0.40950623
108	-119.851114389376	0.43835968
109	-119.645007966398	0.40650618
110	-119.43890154342	0.42939144
111	-119.23279512044199	0.4345329
112	-119.026688697464	0.40692195
113	-118.82058227448599	0.42616704
114	-118.61447585150799	0.42858875
115	-118.40836942852998	0.43045294
116	-118.202263005552	0.41441217
117	-117.996156582574	0.40347064
118	-117.79005015959599	0.4189055
119	-117.583943736618	0.40506628
120	-117.37783731363999	0.3919544
121	-117.171730890662	0.4116098
122	-116.96562446768398	0.42512444
123	-116.759518044706	0.39369375
124	-116.55341162172799	0.403147
125	-116.34730519874999	0.41245496
126	-116.141198775772	0.43257177
127	-115.93509235279399	0.4355509
128	-115.728985929816	0.43536937
129	-115.522879506838	0.4318117
130	-115.31677308386	0.41274145
131	-115.11066666088199	0.41945383
132	-114.904560237904	0.40345827
133	-114.69845381492598	0.42887208
134	-114.49234739194799	0.40745652
135	-114.28624096897	0.41838896
136	-114.080134545992	0.39697847
137	-113.874028123014	0.4445187
138	-113.66792170003599	0.42351228
139	-113.461815277058	0.4200952
140	-113.25570885407998	0.41860232
141	-113.04960243110199	0.42495877
142	-112.84349600812399	0.39793065
143	-112.637389585146	0.41010246
144	-112.431283162168	0.40270457
145	-112.22517673918999	0.43788674
146	-112.019070316212	0.4046557
147	-111.812963893234	0.39971542
148	-111.60685747025599	0.42369166
149	-111.40075104727799	0.4190975
150	-111.1946446243	0.41168132
151	-110.98853820132199	0.43014476
152	-110.78243177834399	0.4192264
153	-110.576325355366	0.4019813
154	-110.370218932388	0.4022395
155	-110.16411250940999	0.40442163
156	-109.958006086432	0.43054092
157	-109.751899663454	0.46290612
158	-109.54579324047599	0.4286376
